Link,Content
https://drive.google.com/file/d/1kmOwFYzh-YaUkQULBV7JojDL7uYrhRI-/view?usp=drive_link,1_One
 https://drive.google.com/file/d/1Rgyx9vMZ--COqPVZ_BKgOQMqvZhMZ7jE/view?usp=drive_link,2_Two
 https://drive.google.com/file/d/1WhV2nmw59Y8RvLKuKSMcwHnNb2Zi9lFY/view?usp=drive_link,3_Three
 https://drive.google.com/file/d/19u_YYO00x7TWc6S_CcCFmNlCtVGiXyeN/view?usp=drive_link,3G
 https://drive.google.com/file/d/1trajBXNBlgJThs0WvKz3PkgXsC1jz8EM/view?usp=drive_link,4_Four
 https://drive.google.com/file/d/1OT1UCqrGG9_-gdSk0IA5URK-tPIcSEnr/view?usp=drive_link,4G
 https://drive.google.com/file/d/1oJGZT0Iqf4bqDA6SyKpPmHI0_G7kxRcG/view?usp=drive_link,5_Five
 https://drive.google.com/file/d/1y0nj6GGAzZXw5owekPeiy80LT6wULDXq/view?usp=drive_link,5G
 https://drive.google.com/file/d/1nQGP9_gf_LJ22Edc4g5mjJVQC6g1DqWc/view?usp=drive_link,6_Six
 https://drive.google.com/file/d/1UBUtqIlE23a4Ks0Ae18QMaZ4V6HVAA6r/view?usp=drive_link,7_Seven
 https://drive.google.com/file/d/1KkuICacF46qd9qipHNuUuFpjD2WFfCSw/view?usp=drive_link,8_Eight
 https://drive.google.com/file/d/1puaxVfOdV5KGwVokB6M-grQMuvUlpcB0/view?usp=drive_link,9_Nine
 https://drive.google.com/file/d/1-f3BwtiSRXOS0fqj6O8DcsvnfPV-wU3S/view?usp=drive_link,10_Ten
 https://drive.google.com/file/d/1eeE97lAL2yY1IGL_ly2g6yNldfyL0LwV/view?usp=drive_link,11_Eleven
 https://drive.google.com/file/d/1orraIFsh-H64PFQ7Kex4a-OKK2gsLegH/view?usp=drive_link,12_Twelve
 https://drive.google.com/file/d/11GyTKEF9ghRvolyX497UOm9JwKGXVqPO/view?usp=drive_link,13_Thirteen
 https://drive.google.com/file/d/1yLXZ3-m6YjA9BRtLIU8TCRcYYgZ3nXlo/view?usp=drive_link,14_Fourteen
 https://drive.google.com/file/d/15AdMvBS-JiidQEZLidiXkHSfg5LprYdH/view?usp=drive_link,15_Fifteen
 https://drive.google.com/file/d/1m_2XMYSi-BW_EoCvgIIaF2EcAjyNab_8/view?usp=drive_link,16_Sixteen
 https://drive.google.com/file/d/1xbD7wNJ-B5VN5c541c9dYkf0Fs-Cr-8O/view?usp=drive_link,17_Seventeen
 https://drive.google.com/file/d/1MuyEl9FkftJ6O40BwLNQW4xLVDzofZON/view?usp=drive_link,18_Eighteen
 https://drive.google.com/file/d/1oCwSJS4ewe7V7vTXX_sK78bqZ_vAXQ9Q/view?usp=drive_link,19_Nineteen
 https://drive.google.com/file/d/1n3FEwaQWNpM5U5WXvG6zftuwO5m6Jq-r/view?usp=drive_link,20_Twenty
 https://drive.google.com/file/d/1kXHxZBJPTIuCrZtUQ82_YToMYePwvU_W/view?usp=drive_link,21_Twenty One
 https://drive.google.com/file/d/1wjpp9Oj8Sfy5b6m5LkX5Jh8XCT85I0lW/view?usp=drive_link,30_Thirty
 https://drive.google.com/file/d/1xZPr2_vZBAtIBpa7ZoFzme6k5KwNHNWq/view?usp=drive_link,50_Fifty
 https://drive.google.com/file/d/1p5zjkTszWnsDAM_SX9AUUXNg10y1SigI/view?usp=drive_link,60_Sixty
 https://drive.google.com/file/d/1p9otAyZrqagMjVejKXwhdcwo6PKq8ViS/view?usp=drive_link,70_Seventy
 https://drive.google.com/file/d/19LZSv-7oPZj_M4JHtNmwwSTrAo7K94li/view?usp=drive_link,100_Hundred
 https://drive.google.com/file/d/1lppzNsXm3_9qnjdF3-hSLLd8MdnkGmKS/view?usp=drive_link,120 Volt
 https://drive.google.com/file/d/1nmDmcr18jOKZ8rC_1DzDZdvzdbQl-Mi-/view?usp=drive_link,240 Volt
 https://drive.google.com/file/d/1gOCDRKEf3W0m0Nu2UMaWv1ci4LB_zGyO/view?usp=drive_link,404 error
 https://drive.google.com/file/d/1GvsYZUNeToAXXF_5DW3nWAajiV3P5ccq/view?usp=drive_link,500_Five_Hundred
 https://drive.google.com/file/d/1c-BfjKl8GL4zesCePs3tyWLst0pw9xdl/view?usp=drive_link,1000_Thousand
 https://drive.google.com/file/d/1lndeqcp_spbSlPDTkAA6SZwdK5lfIXt-/view?usp=drive_link,2000_Two Thousand
 https://drive.google.com/file/d/1yGB0x6XAWLtl14zcXS34cySmdyC67ACw/view?usp=drive_link,10000_Ten_Thousand
 https://drive.google.com/file/d/1vEdb747tBN_PTS1AkB3ndF0GK4b9FZYj/view?usp=drive_link,100000_One_Lakh
 https://drive.google.com/file/d/1pfuRyqfZV4_q24u-NStjgCor-v0AyIau/view?usp=drive_link,10000000_One_Crore
 https://drive.google.com/file/d/12XyLAVikn409nERWzgahXzNMEd19HwIH/view?usp=drive_link,Numbers_(0-1_Crore)
 https://drive.google.com/file/d/14qYWfE_Kwck9cAgp46IMF8vzvTgdTB05/view?usp=drive_link,Numbers (Mumbai_Maharashtra)
 https://drive.google.com/file/d/144D2n7bhRLVkMLrDfOvAQLhCt-Cnu0Gz/view?usp=drive_link,Numbers_1-10_(Andhra Pradesh_Telangana)
 https://drive.google.com/file/d/1oKAYSzH0IFskStpD0PFyXFSPgKzj0xFn/view?usp=drive_link,Numbers_1-10_(Odisha)
 https://drive.google.com/file/d/1Lwyh_-p7J-vUinElXqKXw_AM4z6y7U9V/view?usp=drive_link,Numbers_1-10_(Thiruvananthapuram_Kerala)
